DW_AuthorID,First Name,Last Name,Birthday,Country of Residence,Hrs Writing per Day
AS443,Abraham,Stackhouse,26/06/1980,Norway,6.00
AW980,Amelia,"Wangerin, Jr.",22/03/1974,New Zealand,16.00
AI923,Anastasia,Inez,26/03/1981,New Zealand,11.00
AM329,Arthur,McCrumb,09/03/1981,New Zealand,3.00
AH957,Arturo,Hijuelos,05/01/1962,United Kingdom,8.00
BH149,Bernard,Hopf,23/11/1955,United States,1.00
BT132,Bianca,Thompson,24/01/1983,United States,5.00
BL857,Bravig,Lewisohn,16/01/1971,United States,11.00
BM856,Burton,Malamud,14/01/1978,Brazil,6.00
CS190,Carolyn,Segal,20/09/1966,United States,7.00
CF829,Charles,Fenimore,14/03/1953,Norway,7.00
CW626,Clifford,Wolitzer,27/07/1976,United Kingdom,8.00
DF413,Darryl,Fleischman,02/12/1964,Germany,16.00
DB605,David,Beam,22/02/1990,United States,5.13
EH487,Elizabeth,Herbach,18/01/1990,New Zealand,0.00
EK605,Elmer,Komroff,07/07/1962,Norway,6.00
GG800,Gloria,Green,15/09/1989,Hong Kong,8.00
GH671,Grace,Harrison,04/04/1994,United States,6.00
HM751,Hamlin,Myrer,24/01/2058,Brazil,9.00
HB302,Hillary,Barnhardt,03/03/1987,New Zealand,4.00
JH502,Jill,Hergesheimer,11/06/1989,Canada,8.00
JS525,John W.,Spanogle,06/08/1982,United Kingdom,10.00
JK592,Jonathan,Kotzwinkle,30/01/1984,Germany,6.00
KY296,Kathy,Yglesias,29/03/1984,Brazil,8.00
KD840,Kenneth,Douglas,19/09/1996,South Africa,3.00
KE397,Kris,Elegant,22/08/1982,Hong Kong,5.00
LL585,Langston,Lippman,27/09/1980,New Zealand,1.00
LN356,Leonard,Nabokov,25/09/1993,United States,1.00
LK915,Lori,Kaan,22/03/1980,China,6.00
LD375,Lynne,Danticat,14/08/1988,New Zealand,8.00
MW974,Malin,Wolff,27/01/1974,Hong Kong,6.00
OL640,Oliver,Lowry,24/08/1988,Netherlands,4.00
PH273,Patricia,Hazzard,23/04/1979,Singapore,5.00
PA878,Philip,Antrim,18/04/1981,Netherlands,7.00
PB147,Phoebe,Brown,17/08/1982,Hong Kong,13.00
RL217,R.M.,Larner,22/03/1963,China,9.00
RM781,Robert,Milofsky,08/01/1990,United States,10.00
RP438,Robert,Plimpton,07/11/1993,Canada,13.00
UK129,Ursula,Karénine,20/02/1989,United Kingdom,9.00
WH901,Ward,Haigh,03/10/1986,Brazil,7.00
WB149,Wendell,Barton,21/10/1971,United States,2.00
